阿空	 a kong
梅露兰普莉兹姆利巴	 mei lu lan pu li zi mu li ba
魅魔	 mei mo
梦殿大祀庙	 meng dian da si miao
梦时空	 meng shi kong
梦消失	 meng xiao shi
梦月	 meng yue
儚月抄	 meng yue chao
梦子	 meng zi
秘封噩梦日记	 mi feng e meng ri ji
秘封活动记录	 mi feng huo dong ji lu
秘封俱乐部异界摄影记录	 mi feng ju le bu yi jie she ying ji lu
米国酱	 mi guo jiang
咪咪号	 mi mi hao
秘神摩多罗	 mi shen mo duo luo
米斯蒂娅	 mi si di ya
米斯蒂娅萝蕾拉	 mi si di ya luo lei la
迷途之家	 mi tu zhi jia
迷途竹林	 mi tu zhu lin
面灵气	 mian ling qi
绵月丰姬	 mian yue feng ji
绵月依姬	 mian yue yi ji
冥界	 ming jie
命莲	 ming lian
命莲寺	 ming lian si
明罗	 ming luo
明治十七年的上海爱丽丝	 ming zhi shi qi nian de shang hai ai li si
摩多罗隐岐奈	 mo duo luo yin qi nai
魔法森林	 mo fa sen lin
魔法使	 mo fa shi
魔理沙	 mo li sha
魔理沙的弹幕回忆	 mo li sha de dan mu hui yi
摩西的奇迹	 mo xi de qi ji
娜兹玲	 na zi ling
牛崎润美	 niu qi run mei
帕露西	 pa lu xi
帕秋莉	 pa qiu li
帕秋莉诺蕾姬	 pa qiu li nuo lei ji
判定点	 pan ding dian
蓬莱人	 peng lai ren
蓬莱山辉夜	 peng lai shan hui ye
凭依华	 ping yi hua
凭坐在梦与现实之间	 ping zuo zai meng yu xian shi zhi jian
琪露诺	 qi lu nuo
琪斯美	 qi si mei
千年幻想乡	 qian nian huan xiang xiang
桥姬	 qiao ji
秦河胜	 qin he sheng
秦心	 qin xin
青娥	 qing e
清兰	 qing lan
青蛙子	 qing wa zi
秋静叶	 qiu jing ye
秋穰子	 qiu rang zi
求闻口授	 qiu wen kou shou
求闻史纪	 qiu wen shi ji
犬走椛	 quan zou hua
穰子	 rang zi
人间之里	 ren jian zhi li
人形裁判	 ren xing cai pan
人形使	 ren xing shi
人鱼	 ren yu
戎璎花	 rong ying hua
入道	 ru dao
乳町	 ru ding
若鹭姬	 ruo lu ji
萨拉	 sa la
萨丽艾尔	 sa li ai er
三分咲	 san fen xiao
三途川	 san tu chuan
伞妖	 san yao
三月精	 san yue jing
桑尼	 sang ni
桑尼米尔克	 sang ni mi er ke
骚灵	 sao ling
森近霖之助	 sen jin lin zhi zhu
山彦	 shan yan
上白泽慧音	 shang bai ze hui yin
少名针妙丸	 shao ming zhen miao wan
少女幻葬	 shao nv huan zang
少女觉的第三只眼	 shao nv jue de di san zhi yan
少女绮想曲	 shao nv qi xiang qu
射命丸文	 she ming wan wen
神话幻想	 shen hua huan xiang
神灵	 shen ling
神灵庙	 shen ling miao
神妈	 shen ma
深秘录	 shen mi lu
神奈子	 shen nai zi
神绮	 shen qi
神玉	 shen yu
神子	 shen zi
圣白莲	 sheng bai lian
圣莲船	 sheng lian chuan
生死之境	 sheng si zhi jing
十六夜	 shi liu ye
十六夜咲夜	 shi liu ye xiao ye
矢田寺成美	 shi tian si cheng mei
兽道	 shou dao
兽人	 shou ren
守矢神社	 shou shi shen she
水桥帕露西	 shui qiao pa lu xi
四重存在	 si chong cun zai
四季大人	 si ji da ren
四季映姬	 si ji ying ji
四季映姬亚玛萨那度	 si ji ying ji ya ma sa na du
斯卡雷特	 si ka lei te
死灵	 si ling
死神	 si shen
斯塔	 si ta
斯塔萨菲娅	 si ta sa fei ya
死亡幻想曲	 si wang huan xiang qu
寺子屋	 si zi wu
苏格拉底	 su ge la di
苏我屠自古	 su wo tu zi gu
随机弹	 sui ji dan
砕月	 sui yue
碎月	 sui yue
太阳花田	 tai yang hua tian
探女	 tan nv
藤原妹红	 teng yuan mei hong
天狗	 tian gou
天空璋	 tian kong zhang
天人	 tian ren
天邪鬼	 tian xie gui
天子	 tian zi
